out/pcc_out_201307.csv
﻿20130701,馬加祿溪,行政院農業委員會水土保持局花蓮分局,決標公告,馬加祿溪災害復建工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.45.5.12&job_number=102S-SC-6-U02-002,<工程類>5133水道、海港、水壩及其他水利工程,"9,471,041",花蓮縣－富里
20130701,埔頭坑溪,新北市政府農業局,公開招標公告,三芝區埔頭坑溪上游整治工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.82.27&job_number=102B027,工程類5133-水道、海港、水壩及其他水利工程,"7,822,664",新北市(非原住民地區)
20130701,大溪,桃園縣大溪鎮仁和國民小學,公開招標公告,桃園縣大溪鎮仁和國民小學防雨窗、隔音天花板及校園安全設施工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.43.99.10&job_number=10205,工程類5139-其他土木工程,"1,617,142",桃園縣(非原住民地區)
20130701,伽溪,臺東縣政府,無法決標公告,伽溪護岸新建工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.54&job_number=102150510189,N/A,N/A,N/A
20130701,雙溪,臺北市政府消防局,無法決標公告,臺北市政府消防局102年度社子、雙溪分隊整修工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.79.57&job_number=10265090501,N/A,N/A,N/A
20130701,野溪,臺中市政府水利局,公開招標更正公告,102年度臺中市第一工區農路野溪及水土保持維護改善工程（第二期）,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.87.25&job_number=10206260181,工程類5139-其他土木工程,"19,323,000",臺中市(非原住民地區)
20130701,野溪,臺中市政府水利局,公開招標更正公告,102年度臺中市第三工區農路野溪及水土保持維護改善工程（第二期）,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.87.25&job_number=10206260182,工程類5139-其他土木工程,"19,323,000",臺中市(非原住民地區)
20130701,野溪,臺中市政府水利局,公開招標更正公告,102年度臺中市第八工區農路野溪及水土保持維護改善工程（第二期）,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.87.25&job_number=10206270183,工程類5139-其他土木工程,"8,002,000",臺中市(非原住民地區)
20130701,深溝,,無法決標公告,宜蘭縣內城國中小、深溝、育才、七賢國小102學年度「學校午餐聯合委外辦理」採購,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.42.97.39&job_number=nces1020601,N/A,N/A,N/A
20130701,愛河,高雄市政府水利局,決標公告,愛河上游水質改善工程-九番埤水質改善,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.97.25&job_number=A1020503,<工程類>5133水道、海港、水壩及其他水利工程,"7,379,212",高雄市－仁武區
20130701,大坑,臺南市玉井區公所,決標公告,玉井區沙田里大坑農路(玉仙高枝13左1電桿旁)改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.95.79&job_number=102-S06,<工程類>5139其他土木工程,"547,274",臺南市－玉井區
20130701,大坑,桃園縣平鎮市公所,決標公告,跨越大坑崁溪自行車道橋樑工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.43.64&job_number=1020527001,<工程類>5139其他土木工程,"3,705,016",桃園縣－平鎮
20130701,中坑,,決標公告,102年度烏山頭水庫蓄水範圍(中坑等4處)治理工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=9.52.19&job_number=2-1302-10217,<工程類>5133水道、海港、水壩及其他水利工程,"8,993,942","臺南市－東山區,臺南市－六甲區"
20130701,龍宮溪,嘉義縣布袋鎮公所,決標公告,本鎮龍宮溪旁及半月等水閘門整建工程-工程委託勘測設計及監造,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.50.53&job_number=102B12,<勞務類>8672工程服務,"420,000",嘉義縣－布袋
20130701,野溪,臺南市玉井區公所,決標公告,玉井區中正里新社高分19右5旁野溪整治工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.95.79&job_number=102-Z11,<工程類>5139其他土木工程,"553,298",臺南市－玉井區
20130701,東港溪,經濟部水利署,決標公告,東港溪安平護岸萬巒護岸防災減災工程併辦土石標售(變更CCO),http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.20&job_number=100C01010001122a,<工程類>5133水道、海港、水壩及其他水利工程,"10,879,287","屏東縣－竹田,屏東縣－萬巒"
20130701,深溝,,無法決標公告,宜蘭縣內城國中小、深溝、育才、七賢國小102學年度「學校午餐聯合委外辦理」採購,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.42.97.39&job_number=nces1020601,N/A,N/A,N/A
20130701,雙溪,臺北市政府消防局,無法決標公告,臺北市政府消防局102年度社子、雙溪分隊整修工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.79.57&job_number=10265090501,N/A,N/A,N/A
20130701,乾溪,南投縣竹山鎮公所,無法決標公告,102竹山鎮大鞍里乾溪農路0.3k處路面改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.48.54&job_number=102107,N/A,N/A,N/A
20130701,東河,臺東縣東河鄉公所,無法決標公告,東河鄉馬武溪整治及護岸改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.54.57&job_number=TH102013,N/A,N/A,N/A
20130701,乾溪,南投縣竹山鎮公所,無法決標公告,大鞍里乾溪路復建工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.48.54&job_number=102106,N/A,N/A,N/A
