out/pcc_out_201308.csv
﻿20130801,旱溪,臺中市太平區公所,限制性招標(經公開評選或公開徵求)公告,太平區振福路361巷至旱溪東路開闢工程、環太東路等2案工程委託設計監造(如附註),http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.87.61&job_number=e102053,勞務類8672-工程服務,"2,218,586",臺中市(非原住民地區)
20130801,大北坑,行政院農業委員會水土保持局臺北分局,決標公告,大北坑六鄰環境改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.45.5.7&job_number=102RFR-03-004,<工程類>5139其他土木工程,"3,089,245",桃園縣－龍潭
20130801,大甲溪,臺中市東勢區公所,公開招標公告,大甲溪沿岸保護區內之水土保持工程興建及維護(含擋土牆、駁坎邊坡等)(明正里除外),http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.87.65&job_number=1020801,工程類5139-其他土木工程,"4,450,340",臺中市(非原住民地區)
20130801,後龍溪,苗栗縣政府,無法決標公告,王爺宮排水護岸改善工程.龍津里港口旁後龍溪階梯修復工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.45&job_number=102313c,N/A,N/A,N/A
20130801,野溪,行政院農業委員會水土保持局臺南分局,公開招標公告,羊林里武廟前野溪整治三期工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.45.5.10&job_number=102-ADE-06-4-001,工程類5139-其他土木工程,"319,409",臺南市(非原住民地區)
20130801,老街溪,桃園縣政府工務局,公開招標公告,102年度老街溪重要節點創意設計工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.73.59&job_number=1020731-AA1,工程類5133-水道、海港、水壩及其他水利工程,"8,338,204",桃園縣(非原住民地區)
20130801,野溪,嘉義縣水上鄉公所,公開招標公告,102年度水上鄉轄內野溪、崩塌地及農路災害緊急搶修搶通工程開口契約,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.50.62&job_number=102A02,工程類5139-其他土木工程,"952,980",嘉義縣(非原住民地區)
20130801,野溪,行政院農業委員會水土保持局臺南分局,公開招標公告,田寮狗瘟氤段581-46等地號旁野溪整治工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.45.5.10&job_number=102-ADE-06-4-020,工程類5139-其他土木工程,"1,820,000",高雄市(非原住民地區)
20130801,野溪,行政院農業委員會水土保持局臺南分局,無法決標公告,佳平橋下游野溪整治工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.45.5.10&job_number=102S-WF-4-T03-004,N/A,N/A,N/A
20130801,深坑,台灣自來水股份有限公司第一區管理處,公開招標公告,深坑區深南路88巷延管工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.52.1&job_number=WQ-02-0104-01,工程類5133-水道、海港、水壩及其他水利工程,"1,251,600",新北市(非原住民地區)
20130801,野溪,行政院農業委員會水土保持局臺南分局,無法決標公告,東大邱園455等地號旁野溪整治工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.45.5.10&job_number=102-ADE-06-4-013,N/A,N/A,N/A
