out/pcc_out_201111.csv
﻿20111101,野溪,屏東縣泰武鄉公所,公開招標公告,萬安國小下方野溪清疏工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.53.79&job_number=100A018,工程類5139-其他土木工程,"3,833,287",屏東縣泰武鄉(原住民地區)
20111101,橫溪,台灣自來水股份有限公司第十二區管理處,公開招標公告,板新廠板橋線三峽橫溪橋段送水幹管替代管線水管橋工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.52.12&job_number=BS-00-1201-01,工程類5139-其他土木工程,"63,481,201",新北市(非原住民地區)
20111101,大坑,桃園縣龜山鄉公所,公開招標公告,大坑村大坑路二段200巷93號前路邊坡擋土牆修繕工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.43.57&job_number=e100052,工程類5139-其他土木工程,"2,176,070",桃園縣(非原住民地區)
20111101,野溪,高雄市政府水利局,公開招標公告,玉門野溪支流土石災害防治工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.97.25&job_number=A1001007,工程類5133-水道、海港、水壩及其他水利工程,"3,993,601",高雄市(非原住民地區)
20111101,老庄溪,苗栗縣政府,公開招標公告,埔尾三橋至豐興橋段水防道路改善工程及老庄溪順豐橋上游左護岸基礎修復工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.45&job_number=000471d,工程類5139-其他土木工程,"465,000",苗栗縣(非原住民地區)
20111101,深坑,南投縣鹿谷鄉公所,公開招標公告,和雅深坑農路改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.48.57&job_number=100103101,工程類5139-其他土木工程,"4,038,000",南投縣(非原住民地區)
20111101,曾文溪,經濟部水利署第六河川局,公開招標更正公告,曾文溪北勢洲橋至曾文溪二橋上游疏濬土石採售分離即採即售作業,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.20.16&job_number=A100027,工程類5133-水道、海港、水壩及其他水利工程,"66,541,307",臺南市(非原住民地區)
20111101,六重溪,臺南市白河區公所,決標公告,六溪里大崎頂(六重溪段502地號)農路改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.95.59&job_number=100053,<工程類>5139其他土木工程,"188,099",臺南市－白河區
20111101,貓羅溪,經濟部水利署第三河川局,決標公告,貓羅溪治理規劃檢討(1/2),http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.20.13&job_number=P1000401d,<勞務類>8673綜合工程服務,"4,000,000",南投縣－全區
20111101,率芒溪,屏東縣政府,決標公告,率芒溪北勢寮二號堤防搶修工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.53&job_number=141-1001005P1,<工程類>5133水道、海港、水壩及其他水利工程,"2,140,000",屏東縣－枋寮
20111101,野溪,南投縣政府,決標公告,竹山鎮桂南段1110地號野溪護岸增高工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.48&job_number=1000906338A,<工程類>5133水道、海港、水壩及其他水利工程,"179,000",南投縣－竹山
20111101,基隆河,台灣中油股份有限公司油品行銷事業部基隆儲運處,決標公告,過基隆河管橋(含管線)拆除工程第一次追加減,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.50.41.1&job_number=DDA9920084-2,"<工程類>5134長程管線,通訊及電線(纜)","1,147,420",基隆市－七堵區
20111101,清水溪,經濟部水利署第四河川局,決標公告,清水溪過溪護岸防災減災工程CCO,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.20.14&job_number=s100038a,<工程類>5133水道、海港、水壩及其他水利工程,"1,426,000",南投縣－竹山
20111101,曾文溪,經濟部水利署第六河川局,招標文件公開閱覽公告資料公告,曾文溪排水起點至海尾寮排水匯流口段整治工程(左岸),http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.20.16&job_number=B100091,N/A,N/A,N/A
20111101,太麻里溪,臺東縣政府,財物變賣公告,太麻里溪公路橋下游左岸土石標售(E區),http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.54&job_number=100190240064,N/A,N/A,N/A
20111101,北坑,苗栗縣頭屋鄉公所,公開取得報價單或企劃書公告,北坑村3鄰往謝屋擋土牆工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.45.62&job_number=100-1-19,工程類5139-其他土木工程,"179,500",苗栗縣(非原住民地區)
20111101,北勢溪,苗栗縣後龍鎮公所,公開取得報價單或企劃書公告,「後龍鎮北勢溪排水、水尾仔大排、龍坑支線排水及埔尾圳疏浚清淤工程」委託設計及監造,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.76.45.56&job_number=A1001109039,勞務類8673-綜合工程服務,"314,500",苗栗縣(非原住民地區)
20111101,大甲溪,臺中市和平區公所,公開取得報價單或企劃書更正公告,99年度大甲溪裡冷段疏濬工程兼供土石採售分離作業計畫—博愛里松鶴二巷排水溝改善工,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.87.76&job_number=100B18,勞務類8672-工程服務,"112,665",臺中市和平區(原住民地區)
20111101,清水溪,經濟部水利署第四河川局,財物變賣公告,100年度清水溪龍門橋上下游段疏濬土石採售分離即採即售作業-收入部分,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=3.13.20.14&job_number=m100110201,N/A,N/A,N/A
﻿20111102,德龜溪,,無法決標公告,德龜溪7號河水堰等四件改善工程,http://ronnywang.github.io/pcc-viewer/tender.html?unit_id=9.52.13&job_number=1001004-06,N/A,N/A,N/A
